abstracta,coordinacion,numerica,verbal,persuasiva,mecanica,social,directiva,organizacion,musical,artistico,espacial
33,30,28,35,26,20,32,31,31,22,25,22
26,31,27,35,32,35,35,33,38,25,28,31
29,29,22,37,31,17,38,39,30,27,23,24
14,11,21,17,13,15,22,16,18,12,11,15
29,21,16,33,37,37,38,40,22,26,23,25
32,35,37,34,31,22,38,42,23,23,39,38
29,28,29,27,33,29,33,28,33,31,33,27
22,18,32,27,20,18,31,31,24,21,14,22
37,30,46,40,38,38,40,40,41,33,31,36
32,30,38,34,37,33,35,38,35,41,32,34
18,25,29,40,33,18,42,39,25,44,41,30
33,30,29,31,29,33,27,36,35,34,22,30
37,33,34,39,32,36,30,34,34,35,35,38
40,41,41,39,40,39,40,40,39,35,42,41
34,35,37,33,36,37,35,36,39,36,35,40
40,23,31,32,24,35,31,33,36,16,29,46
49,42,47,41,46,31,45,48,38,30,46,35
37,42,39,39,39,34,39,36,36,32,35,38
19,19,22,23,22,23,24,22,21,20,20,22
48,49,49,49,48,48,48,48,49,49,48,49
43,37,36,40,41,42,43,43,39,40,38,39
32,30,27,26,23,23,34,34,29,27,27,28
33,30,32,28,29,31,31,30,31,34,33,30
38,18,30,38,14,14,38,31,28,13,23,22
50,50,50,50,50,50,50,50,50,50,50,50
30,29,30,30,35,27,31,29,30,31,30,32
43,30,31,37,33,29,34,39,35,39,30,36
30,27,24,35,31,30,39,38,27,27,34,32
30,30,30,30,30,30,30,30,30,30,30,30
34,46,41,30,21,26,22,38,36,16,38,31
30,24,35,29,33,37,29,32,34,45,30,34
30,33,28,34,30,32,31,33,31,34,33,33
26,31,40,29,25,36,42,36,31,41,28,39
12,21,13,18,13,13,19,18,12,31,14,21
32,37,34,31,31,30,39,36,32,33,35,36
43,39,36,37,42,41,41,35,40,43,43,38
27,24,23,19,17,29,28,21,24,17,16,32
25,24,20,24,17,23,30,29,22,18,22,27
33,29,27,28,31,28,39,29,27,32,30,31
17,19,25,22,21,25,34,27,28,14,12,27
39,38,41,39,36,40,38,40,40,42,38,40
38,23,23,25,21,22,38,38,30,23,28,34
31,36,40,36,30,31,36,38,33,39,35,36
33,30,32,32,21,31,33,31,34,27,27,29
47,43,43,44,44,46,42,47,44,42,47,45
39,40,39,39,40,40,39,44,43,42,42,40
31,34,32,35,31,32,37,39,34,38,34,30
34,39,22,29,27,45,34,31,32,26,36,34
39,33,34,33,32,31,36,37,30,34,38,34
40,40,30,35,32,31,49,37,20,32,41,23
39,34,35,30,34,41,33,35,29,33,35,35
30,33,29,30,28,33,40,31,32,24,21,32
33,25,50,34,41,40,43,37,40,31,31,44
21,29,30,30,30,36,38,39,30,29,31,33
24,25,29,25,22,31,30,36,29,24,21,32
31,38,38,42,27,30,40,36,33,26,28,31
35,29,38,43,32,33,27,31,42,34,33,37
31,25,27,27,22,25,33,27,26,19,32,34
37,31,49,28,24,35,22,26,33,32,26,25
26,24,23,25,26,23,27,24,25,24,25,25
37,37,34,33,37,33,40,38,35,31,36,36
39,40,40,40,40,40,39,40,40,39,40,40
29,36,32,37,30,21,43,35,34,21,33,21
21,19,29,20,17,18,26,20,23,11,14,24
12,14,11,15,16,16,42,19,12,33,35,26
34,30,32,33,33,26,38,34,32,21,38,27
38,30,30,32,33,31,31,31,30,29,28,29
41,37,38,46,41,44,41,40,41,43,42,41
31,30,31,31,31,34,31,33,31,29,29,32
32,25,28,26,23,32,35,35,31,24,30,30
48,14,39,47,41,34,44,49,43,33,31,20
27,29,32,30,28,32,42,36,28,37,31,30
33,31,32,36,32,35,39,35,33,35,30,35
44,39,44,45,46,45,43,48,42,34,43,44
37,38,40,39,39,44,39,41,38,39,27,40
39,28,29,37,34,35,32,31,35,25,28,37
35,38,35,35,36,39,31,36,34,36,36,37
50,50,50,50,50,50,50,50,50,50,50,50
30,41,34,34,17,23,43,33,24,23,38,34
21,27,43,22,18,20,19,20,24,10,20,27
10,11,10,10,12,10,12,10,10,10,10,10
33,28,29,36,26,34,40,32,29,23,20,31
30,23,37,39,25,32,28,31,38,15,31,26
