Carrera,Biologicos,Mecanicos,Campestres,Geofisicos,Sociales,Literarios,Organizacion,Persuasivo,Calculo,Contabilidad,Musical,Artistico,Cientificos
0,48,49,37,48,42,50,50,42,44,48,48,49,50
0,29,27,28,28,31,28,29,24,30,29,28,28,30
0,36,41,28,35,33,29,32,26,44,29,29,31,40
0,38,47,49,42,46,42,35,37,46,30,39,40,48
1,30,42,21,27,20,28,40,15,41,36,34,32,30
1,36,33,37,33,34,27,32,37,33,35,30,32,35
1,31,33,33,34,33,32,35,34,32,36,33,31,33
0,35,36,37,32,28,25,40,33,43,36,30,30,34
1,39,32,38,41,37,38,31,37,34,31,48,43,43
1,38,32,32,30,26,35,40,30,43,33,30,31,37
1,34,43,35,39,25,25,42,22,41,39,25,29,36
0,40,42,39,43,40,41,41,36,42,33,41,41,38
0,36,37,29,36,24,28,35,26,39,28,31,34,37
1,40,28,33,33,28,39,37,28,36,40,32,33,35
0,32,31,31,32,30,30,31,30,28,30,32,30,32
1,39,29,38,33,38,35,33,35,30,38,36,33,40
1,30,28,32,29,28,30,32,29,30,32,30,31,31
0,45,38,38,36,40,37,38,38,48,42,39,48,44
1,39,39,45,40,32,38,34,43,24,38,38,38,35
1,24,35,28,30,35,34,31,36,34,34,31,38,30
0,38,41,39,37,38,36,38,35,44,41,46,40,38
1,37,22,33,21,33,23,33,34,39,29,29,15,35
0,38,40,38,39,40,37,39,38,43,36,39,39,42
1,22,32,12,26,23,48,31,33,39,14,49,47,33
1,31,34,31,32,33,34,31,29,34,30,32,31,31
1,30,33,28,28,29,26,29,28,32,31,29,30,32
1,33,38,41,44,39,44,36,38,43,41,39,35,37
1,32,42,40,41,37,38,41,40,40,43,37,40,38
1,36,39,29,37,29,29,38,27,40,37,31,36,38
1,38,40,44,34,24,33,33,41,45,41,42,43,35
0,42,46,45,46,41,24,33,28,39,33,29,35,41
1,42,46,40,45,46,40,43,44,47,42,42,48,47
1,45,46,46,45,46,49,44,46,42,48,46,44,48
0,29,31,29,30,32,29,30,29,34,31,30,30,32
1,41,36,43,43,42,44,45,42,44,38,44,43,43
1,30,26,27,27,28,30,27,28,27,29,29,28,28
1,43,33,33,39,36,29,30,33,34,35,36,41,36
0,31,36,29,35,28,36,34,25,35,36,29,30,29
1,35,20,40,40,34,34,39,18,34,31,20,21,47
1,46,46,47,46,45,48,46,48,46,46,49,49,46
0,33,34,36,34,32,31,34,30,41,34,33,29,38
0,38,37,33,36,36,34,29,35,25,28,37,38,37
